gene,less_than_0.001_AF_non_disease_sum,less_than_0.001_AF_squared_non_disease_sum,less_than_0.001_AF_disease_sum,less_than_0.001_AF_squared_disease_sum
AC079210.1,0.002558547,1.15249E-06,0.000049419,2.44224E-09
AC093157.1,0.002494721,1.041E-06,0,0
AC103809.2,0.004428742,1.99337E-06,0,0
AC110615.1,0.001880038,5.35781E-07,0,0
AC114494.1,0.002010874,4.77279E-07,0,0
AC129492.6,0.004359871,2.30208E-06,0,0
ACAA1,0.008980621,2.73318E-06,0,0
ACAA2,0.005677449,1.54955E-06,0,0
ACACA,0.014141997,4.48183E-06,0,0
ACACB,0.035086607,7.0893E-06,0,0
ACAD10,0.016622338,2.88066E-06,0,0
ACAD11,0.013372064,4.14557E-06,0,0
ACAD8,0.005788003,1.2363E-06,0.00085178,1.21345E-07
ACAD9,0.01036295,2.3729E-06,0.000339382,4.95386E-08
ACADL,0.007461522,2.11535E-06,0.000050638,2.56421E-09
ACADM,0.004336906,9.86705E-07,0.002018777,6.79509E-07
ACADS,0.005915745,8.25786E-07,0.001861345,4.18916E-07
ACADSB,0.005149667,6.51696E-07,0.001447574,7.61024E-07
ACADVL,0.010288567,2.56356E-06,0.001959985,3.7043E-07
ACAN,0.043060427,1.12964E-05,0,0
ACAP1,0.008282928,1.33722E-06,0,0
ACAP2,0.007510154,1.52085E-06,0,0
ACAP3,0.013945444,3.41476E-06,0,0
ACAT1,0.004225521,6.47419E-07,0.000561756,8.24067E-08
ACAT2,0.004273391,7.75175E-07,0,0
ACBD3,0.007578472,2.87691E-06,0,0
ACBD4,0.006462128,1.59545E-06,0,0
ACBD5,0.008672931,3.1105E-06,0,0
ACBD6,0.002056662,1.46049E-07,0,0
ACBD7,0.000846753,6.08511E-08,0,0
ACCS,0.010331183,3.7213E-06,0,0
ACCSL,0.009181197,2.8033E-06,0,0
ACD,0.007394531,1.19834E-06,0,0
ACE,0.037714512,1.27386E-05,0.001174746,4.40194E-07
ACE2,0.00685109,1.71945E-06,0,0
ACER1,0.003946474,7.17962E-07,0,0
ACER2,0.00260179,1.45736E-07,0,0
ACER3,0.003620971,1.71916E-06,0,0
ACHE,0.006964417,1.9483E-06,0,0
ACIN1,0.01511631,2.32129E-06,0,0
ACKR2,0.005829703,1.94075E-06,0,0
ACKR3,0.005024834,1.4045E-06,0,0
ACKR4,0.003991805,4.14521E-07,0,0
ACLY,0.007987386,8.5413E-07,0,0
ACMSD,0.00610128,1.81202E-06,0,0
ACN9,0.002600491,9.20819E-07,0,0
ACO1,0.010407035,2.837E-06,0,0
ACO2,0.007596462,1.8957E-06,0,0
ACOT1,0.011250799,5.1604E-06,0,0
ACOT11,0.014704622,4.24073E-06,0,0
ACOT12,0.009819032,2.77851E-06,0,0
ACOT13,0.00449061,1.969E-06,0,0
ACOT2,0.009965472,2.48683E-06,0,0
ACOT4,0.008118889,2.82943E-06,0,0
ACOT6,0.001942317,4.34061E-07,0,0
ACOT7,0.004842207,1.40159E-06,0,0
ACOT8,0.009823155,2.89963E-06,0,0
ACOT9,0.004646716,1.39E-06,0,0
ACOX1,0.005900195,7.27611E-07,0.000057655,8.81927E-10
ACOX2,0.012511823,2.88647E-06,0,0
ACOX3,0.012959953,2.05438E-06,0,0
ACOXL,0.013382504,4.23823E-06,0,0
ACP1,0.002718961,3.47184E-07,0,0
ACP2,0.005401086,5.02728E-07,0,0
ACP5,0.004967735,1.20378E-06,0.000049736,1.2264E-09
ACP6,0.00927823,3.44911E-06,0,0
ACPL2,0.007232209,2.05206E-06,0,0
ACPP,0.006249258,1.438E-06,0,0
ACPT,0.007649624,1.52124E-06,0,0
ACR,0.007380848,1.9035E-06,0,0
ACRBP,0.007157333,1.73692E-06,0,0
ACRC,0.011163073,3.02105E-06,0,0
ACRV1,0.004545069,1.38674E-06,0,0
ACSBG1,0.011078227,3.72779E-06,0,0
ACSBG2,0.012892395,4.35194E-06,0,0
ACSF2,0.006426071,7.72537E-07,0,0
ACSF3,0.01549094,4.50143E-06,0.001032551,5.22481E-07
ACSL1,0.009695375,2.87675E-06,0,0
ACSL3,0.008519283,2.23427E-06,0,0
ACSL4,0.00281447,3.46733E-07,0,0
ACSL5,0.008875603,2.87411E-06,0,0
ACSL6,0.009056668,2.80289E-06,0,0
ACSM1,0.009937609,2.03503E-06,0,0
ACSM2A,0.014481259,3.79928E-06,0,0
ACSM2B,0.01405487,3.52588E-06,0,0
ACSM3,0.009033814,2.89905E-06,0,0
ACSM4,0.010520082,3.16904E-06,0,0
ACSM5,0.013494581,4.07486E-06,0,0
ACSS1,0.009590233,2.84521E-06,0,0
ACSS2,0.009091479,2.20587E-06,0,0
ACSS3,0.008190017,1.81926E-06,0,0
ACTA1,0.000589341,1.69701E-08,0.000041792,1.19348E-09
ACTA2,0.00070828,1.84145E-08,0.000176065,1.79837E-08
ACTB,0.00047486,1.64051E-08,0,0
ACTBL2,0.008466039,3.41191E-06,0,0
ACTC1,0.000337371,5.87804E-09,0.0000582,9.06313E-10
ACTG1,0.002772497,2.62428E-07,0.001850129,1.21903E-06
ACTG2,0.001876466,1.32143E-07,0,0
ACTL6A,0.003106242,7.81477E-07,0,0
ACTL6B,0.001284736,9.93044E-08,0,0
ACTL7A,0.007968147,1.56724E-06,0,0
ACTL7B,0.004981316,8.47452E-07,0,0
ACTL8,0.005915777,2.09809E-06,0,0
ACTL9,0.007696838,2.02965E-06,0,0
ACTN1,0.00745207,1.07231E-06,0.000016487,1.35911E-10
ACTN2,0.010706621,2.35944E-06,0.002092214,1.28739E-06
ACTN4,0.005591799,9.39173E-07,0,0
ACTR10,0.006264156,2.47528E-06,0,0
ACTR1A,0.001326044,6.82734E-08,0,0
ACTR1B,0.00368275,2.44125E-07,0,0
ACTR2,0.000445768,7.35195E-09,0,0
ACTR3,0.001594203,9.96146E-07,0,0
ACTR3B,0.002761193,6.5785E-07,0,0
ACTR3C,0.005859552,1.09495E-06,0,0
ACTR5,0.006305399,7.83314E-07,0,0
ACTR6,0.004881841,1.51241E-06,0,0
ACTR8,0.005774573,8.54739E-07,0,0
ACTRT1,0.005998986,1.19612E-06,0,0
ACTRT2,0.005876844,9.99763E-07,0,0
ACTRT3,0.004074449,9.5791E-07,0,0
ACVR1,0.002654599,3.92545E-07,0,0
ACVR1B,0.003952233,5.35245E-07,0,0
ACVR1C,0.004883855,1.97329E-06,0,0
ACVR2A,0.003079045,1.07781E-06,0,0
ACVR2B,0.00298474,3.66664E-07,0.000024709,6.10535E-10
ACVRL1,0.006420585,1.31318E-06,0.000639083,1.59801E-07
ACY1,0.0084604,1.81196E-06,0.000124087,7.27822E-09
ACY3,0.006860904,1.8915E-06,0,0
ACYP1,0.002420619,5.81438E-07,0,0
ACYP2,0.003433448,9.98008E-07,0,0
ADA,0.003705936,5.48233E-07,0.001846795,3.6436E-07
ADAD1,0.006052381,1.05148E-06,0,0
ADAD2,0.022666699,8.16647E-06,0,0
ADAL,0.00363941,1.03759E-06,0,0
ADAM10,0.005640906,2.74945E-06,0.00108774,9.73115E-07
ADAM11,0.009649965,2.23633E-06,0,0
ADAM12,0.013632263,4.20001E-06,0,0
ADAM15,0.016033758,4.00303E-06,0,0
ADAM17,0.006524589,1.51837E-06,0,0
ADAM18,0.012303043,2.66502E-06,0,0
ADAM19,0.012637931,3.31969E-06,0,0
ADAM2,0.015413589,5.0684E-06,0,0
ADAM20,0.012213825,3.83488E-06,0,0
ADAM21,0.012290413,2.77325E-06,0,0
ADAM22,0.009162275,2.0948E-06,0,0
ADAM23,0.006667677,1.19971E-06,0,0
ADAM28,0.014979609,3.71497E-06,0,0
ADAM29,0.010350693,1.65013E-06,0,0
ADAM30,0.009534762,2.34639E-06,0,0
ADAM32,0.015588558,4.68946E-06,0,0
ADAM33,0.018091266,6.43059E-06,0,0
ADAM7,0.015178607,4.32457E-06,0,0
ADAM8,0.029505451,8.39195E-06,0,0
ADAM9,0.005694288,6.40832E-07,0.000008243,6.7947E-11
ADAMDEC1,0.005954361,8.24546E-07,0,0
ADAMTS1,0.01323758,2.92776E-06,0,0
ADAMTS10,0.014079762,3.06629E-06,0.000026174,3.89178E-10
ADAMTS12,0.017880032,4.06127E-06,0,0
ADAMTS13,0.023640255,6.51858E-06,0.001605336,9.4949E-07
ADAMTS14,0.023614484,6.33821E-06,0,0
ADAMTS15,0.014102203,3.78228E-06,0,0
ADAMTS16,0.020439352,5.05004E-06,0,0
ADAMTS17,0.023224797,5.33562E-06,0.00002499,6.245E-10
ADAMTS18,0.028199848,8.03379E-06,0,0
ADAMTS19,0.013872898,3.70475E-06,0,0
ADAMTS2,0.020827597,5.74167E-06,0.000117603,1.38305E-08
ADAMTS20,0.030760193,7.64138E-06,0,0
ADAMTS3,0.011786797,1.87129E-06,0,0
